ProdId,Description,SalesGroup,Weight (g),GHG Emission (g),N lost (g),Freshwater Withdrawals (ml),Stress-Weighted Water Use (ml)
R-57243,SL|Side|beans and pesto,FOOD,0,0,0,0,0
R-37868,SL|Side|Beans Romano ,GV SIMPLY LOCAL,0,0,0,0,0
R-44814,SL|Side|Potato baked,GV SIMPLY LOCAL,0,0,0,0,0
R-36874,SL|Side|Potato Rosemary Roast,GV SIMPLY LOCAL,0,0,0,0,0
R-47746,SL|Side|Potato Smash Olive Oil,GV SIMPLY LOCAL,0,0,0,0,0
R-46330,SL|Side|Quinoa,GV SIMPLY LOCAL,0,0,0,0,0
R-36854,SL|Side|Rice Brown,GV SIMPLY LOCAL,0,0,0,0,0
R-52652,SL|Side|Roasted Potato,GV SIMPLY LOCAL,0,0,0,0,0
R-36853,SL|Side|SorghumRoasted,GV SIMPLY LOCAL,0,0,0,0,0
R-62303,SL|SIDEs x1|RATIO,GV SIMPLY LOCAL,0,0,0,0,0
R-44810,SL|SideYam Roasted Sage,GV SIMPLY LOCAL,0,0,0,0,0
R-45070,SL|Squash bowl(1),GV SIMPLY LOCAL,0,0,0,0,0
R-62118,SL|Squash bowl|+1,GV SIMPLY LOCAL,0,0,0,0,0
R-62117,SL|Squash bowl|+2,GV SIMPLY LOCAL,0,0,0,0,0
R-62116,SL|Squash bowl|+3,GV SIMPLY LOCAL,0,0,0,0,0
R-57242,SL|Starches blend|Beans legume,FOOD,0,0,0,0,0
R-57240,SL|Starches Blend|Potatoes,FOOD - HOT,0,0,0,0,0
R-57241,SL|Starches blend|Rice & grain,FOOD,0,0,0,0,0
R-57244,SL|Starches|RATIO|NEW,GV SIMPLY LOCAL,0,0,0,0,0
R-62144,SL|Vegetable lasagne|220g,GV SIMPLY LOCAL,0,0,0,0,0
R-62193,SL|vegetables x2|RATIO|NEW,GV SIMPLY LOCAL,0,0,0,0,0
R-56008,BEV|Rise Kombucha|Blueberry,BEVERAGE,0,0,0,0,0
R-56005,BEV|Rise Kombucha|Ginger,BEVERAGE,0,0,0,0,0
R-56040,BEV|Tonica Kombucha|Blueberry,BEVERAGE,0,0,0,0,0
R-56009,BEV|Tonica Kombucha|Grapefruit,BEVERAGE,0,0,0,0,0
R-56027,BEV|Tonica Kombucha|Green Tea,BEVERAGE,0,0,0,0,0
R-56004,BEV|Tonica Kombucha|Mango,BEVERAGE,0,0,0,0,0
R-55997,BEV|Tonica Kombucha|Original,BEVERAGE,0,0,0,0,0
R-56072,BEV|Tonica Kombucha|Peach,BEVERAGE,0,0,0,0,0
