ItemId,CategoryID,Description,CaseQty,CaseUOM,PakQty,PakUOM,InventoryGroup
I-6204,55,Juice - Lime Fresh Squeezed,30.0,g,300.0,oz,N
I-2133,31,PINEAPPLE,1.0,ea,15.0,ea,N
I-15925,48,OIL Canola Shirakiku 16L,3.0,oz,15.0,oz,N
I-16638,1,Burger - chefs choice 6z,1.0,ea,1.0,ea,N
I-1897,31,GUACAMOLE WESTERN STYLE ,6.0,fl oz,1.0,fl oz,N
I-13694,57,DRESSING Ranch BtrMilk,2.0,fl oz,1.0,ml,N
I-1636,31,SQUASH - BUTTERNUT,60.0,g,1.0,oz,N
I-4925,38,Carrots Baby - Tri Color,5.0,g,1.0,g,N
I-12877,38,Radish-Watermelon,5.0,g,1.0,oz,N
I-13813,37,Tomato Baby Gem Mix HH,0.2,LBS,1.0,LBS,N
I-15200,40,SALAD TUSCAN MIXED,60.0,g,1.0,oz,N
I-14422,39,Onions Green 3ct ,5.0,g,1.0,oz,N
I-2262,26,SESAME SEEDS,2.0,g,1.0,g,N
I-14126,24,"PITA THICK 5""",0.5,ea,1.0,ea,N
I-14127,24,PITA POCKETS THIN,0.5,ea,1.0,ea,N
I-11093,6,Cheese Curd Portions 80G,40.0,g,1.0,g,N
I-3700,24,"TORTILLA 12"" FLOUR El Torito",1.0,ea,1.0,ea,N
I-2238,4,SAUCE SWEET CHILLI F/ CHICKEN ,2.0,fl oz,1.0,ml,N
I-13598,40,Spring rolls-50gx40p,6.0,ea,1.0,ea,N
I-3180,57,Vinegar White Wine,4.5,fl oz,665.0,ml,N
I-2183,25,RICE JASMINE FRAGRANT,1000.0,g,12.0,g,Y
I-1849,24,FLOUR ALL PURPOSE,3.0,Kg,3.0,g,Y
I-2341,54,Spice Paprika Shk 540g,30.0,g,3.0,g,Y
I-2920,58,Sauce Soy Kikkoman Jap,350.0,ml,4500.0,fl oz,Y
I-15547,54,Gochujang Hot Pepper Paste ,600.0,g,4500.0,g,Y
I-16698,54,Lemon Pepper Seasoning,825.0,g,875.0,g,N
I-8749,54,ITEM VEGAN MAYO,500.0,ml,500.0,ml,N
I-5203,41,POTATO YUKON GOLD LARGE,4.0,Kg,3.7,oz,N
I-2263,54,SHIRO MISO,50.0,g,600.0,g,N
I-1695,6,CHEESE SWISS SLCD NAT 21G,1.0,slice,1.0,slice,N
I-12060,24,"Brioche Sliced Ham Bun 4""",1.0,ea,1.0,ea,N
I-13001,6,GOAT CHS CRUMBLE ,227.0,g,1.5,g,Y
