Optimum Control ID,OC Description,SalesGroup,Combined Label,Red,Yellow,Green,GHG Emission (g),N lost (g),Land Use (m^2),Freshwater Withdrawals (L),Stress-Weighted Water Use (L),GHG Emission (g) / 100g,N lost (g) / 100g,Freshwater Withdrawals (L) / 100g,Stress-Weighted Water Use (L) / 100g,Land Use (m^2) / 100g
R-16856,2022 vegan croutons,N,Yellow,False,True,False,2098.8971,11.93725,8.08649999999992,335.88,10262.3,196.34,1.12,31.42,959.99,0.76
R-15405,2022 Waffle - Chix,N,Yellow,False,True,False,1289.352744309375,27.916000055500003,3.401210628337485,144.92,2000.32,300.06,6.5,33.73,465.52,0.79
R-16801,2022 Waffle Pulled Pork,N,Red,True,False,False,2840.277644309376,36.709200055500006,6.25065062833746,527.05,15847.81,678.36,8.77,125.88,3785.01,1.49
R-16802,2022 Waffle Vegan Chix,N,Green,False,False,True,465.8187443093751,2.751000055500002,1.7339106283374766,63.45,1926.95,155.95,0.92,21.24,645.11,0.58
R-16777,2022 Watermelon dressing,N,Green,False,False,True,1305.7803,0.8767500000000001,4.992999999999999,1.59,5.81,184.95,0.12,0.23,0.82,0.71
R-16776,2022 Watermelon Salad,N,Green,False,False,True,407.7969,3.4072500000000003,0.643,35.45,1737.03,94.34,0.79,8.2,401.86,0.15
R-15038,2023 Chicken Tikka,Y,Red,True,False,False,4399.6,116.8,11.51,370.3,333.5,439.96,11.68,37.03,33.35,1.15
R-18412,2023 GM Appi Platter,N,Yellow,False,True,False,6922.437943236713,64.18763519912119,18.550583717775112,1034.55,44143.13,231.34,2.15,34.57,1475.21,0.62
R-18470,2023 GM marinated Olives,N,Red,True,False,False,737.9029349996229,0.067684999994075,3.4719284999991062,40.47,3099.47,526.51,0.05,28.88,2211.54,2.48
R-18344,2023 GM Pesto Penne,N,Red,True,False,False,8552.468007752916,69.79005845492497,14.780358098174094,1810.84,100085.51,265.26,2.16,56.16,3104.16,0.46
R-16832,2023 group cheese platter,N,Red,True,False,False,10336.087999999998,104.691,15.952699999999949,1801.31,88484.86,499.33,5.06,87.02,4274.63,0.77
R-18403,2023 Hh Babaganoush,N,Yellow,False,True,False,526.0133089740042,2.676658079983743,1.9503966345153096,34.91,1095.6,222.95,1.13,14.8,464.37,0.83
R-18342,2023 HH Chick pea Falafel ,N,Green,False,False,True,372.9549,0.7581,2.026429999999988,1.07,74.06,209.53,0.43,0.6,41.61,1.14
