Optimum Control ID,OC Description,SalesGroup,Combined Label,Red,Yellow,Green,GHG Emission (g),N lost (g),Land Use (m^2),Freshwater Withdrawals (L),Stress-Weighted Water Use (L),GHG Emission (g) / 100g,N lost (g) / 100g,Freshwater Withdrawals (L) / 100g,Stress-Weighted Water Use (L) / 100g,Land Use (m^2) / 100g
R-66473,KLONDIKE MAPLE CRUNCH DONUT,FT ICE CREAM NOVELTY,Yellow,False,True,False,1.5225,0.0148,0.0048899999999999,0.42,12.82,152.25,1.48,42.0,1282.0,0.49
R-38312,KOREAN BBQ TOFU,FT GRILL FREATURES,Green,False,False,True,134.8543335594364,1.942336970404048,0.3328393411329758,6.69,288.82,79.28,1.14,3.93,169.8,0.2
R-54715,LAMB|Korma Plate (Test),FEAST,Red,True,False,False,4376.595225527628,24.65695654390472,12.62286044937348,272.7,3461.76,649.35,3.66,40.46,513.61,1.87
R-63580,LAYS OVEN BAKED BBQ 32g,FT GRAB & GO,Green,False,False,True,0.397,0.005,0.00052,0.0,0.08,39.7,0.5,0.0,8.0,0.05
R-54880,LIV|Caesar & Foccacia,SPECIALS,Green,False,False,True,448.3598158783069,4.079680304761904,0.8361635069841269,56.66,2894.79,146.47,1.33,18.51,945.67,0.27
R-44779,LIV|Chick Wings|6pcs,SPECIALS,Red,True,False,False,1225.1026253968255,32.462573015873005,3.2060793650793644,102.92,95.43,389.54,10.32,32.72,30.34,1.02
R-54877,LIV|Corn Dogs|3pcs,SPECIALS,Green,False,False,True,72.7002,0.02025,0.00522,0.13,1.05,220.3,0.06,0.39,3.18,0.02
R-54882,LIV|Strawberry Milkshake,SPECIALS,Yellow,False,True,False,1139.8716000000002,6.3406,1.024099999999965,48.66,5245.3,325.68,1.81,13.9,1498.66,0.29
R-37641,MAGNA CLASSIC BEEF BURGER,FEAST,Red,True,False,False,4823.455548346158,38.44471617692312,0.0,198.45,7334.45,1893.05,15.09,77.89,2878.54,0.0
R-37633,MAGNA SIGNATURE SALAD,FEAST,Yellow,False,True,False,337.9196265432248,1.7179750442710724,0.9646651291275472,60.57,4085.95,198.78,1.01,35.63,2403.5,0.57
R-37636,MAGNA TEMPEH ADD ON,FEAST,Green,False,False,True,211.97512010357144,0.5141002071428572,0.6302599667857143,0.62,3.27,202.29,0.49,0.59,3.12,0.6
