ProdId,Description,SalesGroup,GHG Emission (g),Weight (g),GHG Emission (Kg),GHG Emission (Kg) / 100g,GHG Emission (g) / 100g,Sales,GHG Emission (g) / 100g*Sales,N lost (g) / 100g,Stress-Weighted Water Use (L) / 100g,Land Use (m^2) / 100g
R-30500,FRUIT|Plum,FT GRAB & GO,36.1704,84.0,0.0362,0.04306,43.06,579,24931.74,0.27,0.46,0.07
R-54841,FRUIT|Lemon,FT GRAB & GO,33.5261187,85.0485,0.0335,0.03942,39.42,125,4927.5,0.27,134.55,0.04
R-51221,S&S|Pork Belly|ADD ON,FT STICKS AND SPOONS,1113.799433,90.0,1.1138,1.237555,1237.554925,2101,2600102.897,16.6,6812.9,2.64
R-46336,GRL|Side Grilled Tomato|1pc,FT GRILL BREAKFAST,78.8712641,90.0,0.0789,0.087635,87.634738,1908,167207.0801,0.9,510.67,0.06
R-44837,S&S|Southeast Braised Beef|ADD,FT SIDES,2685.32076,90.0,2.6853,2.98369,2983.689734,668,1993104.742,23.96,4393.11,9.09
R-51236,S&S|Add Pacific Rockfish,FT STICKS AND SPOONS,503.4108267,90.0,0.5034,0.559345,559.345363,379,211991.8926,7.81,942.66,0.79
R-54794,S&S|SIDE|Chow Mein,FT STICKS AND SPOONS,83.66822874,90.0,0.0837,0.092965,92.964699,3,278.894097,1.0,664.32,0.3
R-23871,G&G|Cereal Cold|Small|Dry,FT GRAB & GO,142.280435,91.025,0.1423,0.156309,156.309184,185,28917.19904,0.59,807.64,0.37
R-22614,GRL|Side Chicken Thigh|Grilled,FT HOMESKILLET,467.043325,100.0,0.467,0.467043,467.043325,1905,889717.5341,11.68,33.51,1.28
R-44319,FLX|Quinoa Tabouleh Salad|SIDE,FEAST,129.5630738,105.0,0.1296,0.123393,123.393404,37,4565.555948,0.7,627.81,0.42
R-30538,SIDE|Fruit Topper|4oz,FT SIDES,178.6979433,111.996,0.1787,0.159557,159.557434,1557,248430.9247,0.4,1529.05,0.16
R-30537,HS|Smokie|SIde,FT HOMESKILLET,1101.128,112.0,1.1011,0.98315,983.15,282,277248.3,13.28,5424.27,2.1
R-24810,FRUIT|Watermelon,FT GRAB & GO,48.2272,112.0,0.0482,0.04306,43.06,48,2066.88,0.27,0.47,0.07
R-23634,FRUIT|Cup|Grapes,FT GRAB & GO,48.2272,114.0,0.0482,0.042305,42.304561,7575,320457.0496,0.27,0.46,0.07
R-22849,FRUIT|Banana,FT GRAB & GO,83.95696306,117.9999481,0.084,0.07115,71.15,31155,2216678.25,0.27,3.13,0.19
R-44860,Sweet & Sour Pork,FEAST,682.4945796,120.0,0.6825,0.568745,568.745483,20,11374.90966,7.67,3144.69,1.22
