ConversionId,Multiplier,ConvertFromQty,ConvertFromUom,ConvertToQty,ConvertToUom
I-7061,0.03401361,1.0,fl oz,29.4,g
I-7710,0.00027533,1.0,CT,3632.0,g
I-8058,0.00408163,1.0,cup,245.0,g
I-8060,0.07042254,1.0,Tbsp,14.2,g
I-8060,0.00440529,1.0,cup,227.0,g
I-9295,0.06666667,1.0,slice,15.0,g
I-9831,1.0,1.0,slice,1.0,g
I-9831,0.002,1.0,BUNCH,500.0,g
I-10760,0.02777778,1.0,cup,36.0,g
I-10760,0.02083333,1.0,leaf,48.0,g
I-10760,0.002,1.0,HEAD,500.0,g
I-10775,112.0,112.0,g,1.0,CT
I-11217,0.22222222,1.0,tsp,4.5,g
I-11217,0.07142857,1.0,Tbsp,14.0,g
I-11217,0.00458716,1.0,cup,218.0,g
I-11361,0.03205128,1.0,fl oz,31.2,g
I-11361,0.004,1.0,CT,250.0,g
I-11361,0.004,1.0,cup,250.0,g
I-11361,0.001,1.0,qt,1000.0,g
I-11362,0.03205128,1.0,fl oz,31.2,g
I-11362,0.004,1.0,CT,250.0,g
I-11362,0.004,1.0,cup,250.0,g
I-11362,0.001,1.0,qt,1000.0,g
I-11365,0.03278689,1.0,fl oz,30.5,g
I-11365,0.00409836,1.0,cup,244.0,g
I-11365,0.0021645,1.0,CT,462.0,g
I-11365,0.00102459,1.0,qt,976.0,g
I-11553,0.00328947,1.0,BUNCH,304.0,g
I-11656,0.00434783,1.0,CT,230.0,g
I-11664,0.03448276,1.0,LOAF,29.0,slice
I-12478,0.03333333,1.0,LOAF,30.0,slice
I-13205,0.0035461,1.0,CT,282.0,g
I-13225,0.00549451,1.0,CT,182.0,g
I-13303,1.0,1.0,CT,1.0,ea
I-14181,0.07142857,1.0,slice,14.0,g
I-16217,0.00271003,1.0,CT,369.0,g
I-16497,0.00271003,1.0,CT,369.0,g
I-17203,0.18867925,1.0,tsp,5.3,g
I-17203,0.0625,1.0,Tbsp,16.0,g
I-17203,0.00392157,1.0,cup,255.0,g
I-17205,0.16666667,1.0,BASKET,6.0,oz
I-17205,0.00694444,1.0,cup,144.0,g
I-17616,0.07142857,1.0,slice,14.0,g
I-17618,0.07142857,1.0,slice,14.0,g
I-19283,0.00210526,1.0,bag,475.0,g
I-19657,0.00666667,1.0,each,150.0,g
I-19737,0.00103306,1.0,L,968.0,g
I-19856,1.0,1.0,lb,1.0,ea
I-20348,0.23809524,1.0,tsp,4.2,g
I-20348,0.07692308,1.0,Tbsp,13.0,g
I-20348,0.00480769,1.0,cup,208.0,g
I-22026,0.21276596,1.0,tsp,4.7,g
I-22026,0.00106383,1.0,L,940.0,g
I-23336,0.00381679,1.0,cup,262.0,g
I-25492,0.0049505,1.0,ea,202.0,g
I-26014,0.22222222,1.0,tsp,4.5,g
I-26014,0.07352941,1.0,Tbsp,13.6,g
I-26014,0.00458716,1.0,cup,218.0,g
I-26667,0.03527337,1.0,oz,28.35,g
I-26667,0.00588235,1.0,ea,170.0,g
