ProdId,Description,SalesGroup,GHG Emission (g),Weight (g),GHG Emission (Kg),GHG Emission (Kg) / 100g,GHG Emission (g) / 100g,Sales,GHG Emission (g) / 100g * sales,N lost (g) / 100g,Stress-Weighted Water Use (L) / 100g,Land Use (m^2) / 100g
R-54918,POP|Eggplant Parmesan|TEN,SPECIALS,1650.940314,475.0,1.6509,0.347566,347.566382,88,30585.84162,2.33,1245.65,0.34
R-44890,GRL|Benny|Classic,GV - GRILL BREAKFAST,573.3684793,165.0,0.5734,0.347496,347.496048,2882,1001483.61,3.58,1570.69,0.55
R-31284,GRLlVeggie Quesadilla,SPECIALS,642.3246675,186.03,0.6423,0.34528,345.280152,180,62150.42736,2.6,2038.42,0.52
R-54919,POP|Chicken Ballotine|TEN,SPECIALS,1638.48463,475.0,1.6385,0.344944,344.944133,80,27595.53064,4.83,170.56,0.52
R-49570,DOD|SousVide salmon|FLX,GV-FLEX DOD,1003.783328,295.0,1.0038,0.340266,340.265535,691,235123.4847,3.7,585.32,0.5
R-14079,G&G|Cereal Cold|Small| & Milk,GV - GRAB & GO,396.5138017,119.294,0.3965,0.332384,332.383692,782,259924.0471,1.2,752.29,0.23
R-54903,PASTA|Baked Chorizo Penne|Sp,SPECIALS,1903.533516,597.296,1.9035,0.318692,318.691824,60,19121.50944,3.86,1938.67,0.61
R-51177,SL|Turkey Plate|sample,GV SIMPLY LOCAL,1337.919319,420.06,1.3379,0.318507,318.506718,646,205755.3398,7.22,269.71,0.89
R-40569,FLX|Bao|Bowl|Pork Belly,GV FLEX BAO,1148.295771,361.0,1.1483,0.318087,318.087471,378,120237.064,3.52,1512.32,0.6
R-53773,SS|POP|Moroccan|Chick,SPECIALS,1669.539212,525.0,1.6695,0.318007,318.007469,104,33072.77678,5.97,439.99,0.9
R-54640,SS|POP|Chicken|Polenta|Beans,SPECIALS,1649.384399,521.0,1.6494,0.31658,316.580499,109,34507.27439,5.48,360.1,1.01
R-51248,GZA|Combo|Miso+Cone|BEEF,GV GYAZA,1845.204412,596.0,1.8452,0.309598,309.598056,7,2167.186392,2.14,438.5,0.79
R-54673,G&G|Lasagna Vegetable|Package,GV - GRAB & GO,768.3352565,250.0,0.7683,0.307334,307.334103,22,6761.350266,3.38,2538.02,0.48
R-51172,SL|Salmon Plate|Sample,GV SIMPLY LOCAL,1191.116265,390.0,1.1911,0.305414,305.414427,3218,982823.6261,3.36,861.56,0.67
R-53249,POP|Flatbread|RoastedApple|MR,SPECIALS,332.4218426,111.0,0.3324,0.299479,299.479138,42,12578.1238,2.3,1795.8,0.46
R-47012,G&G|Yogurt|Greek|Vanilla,GV - GRAB & GO,446.73,150.0,0.4467,0.29782,297.82,182,54203.24,2.61,1300.26,0.23
R-44816,SL|Chicken Breast|Plate Day 3,GV SIMPLY LOCAL,1224.08959,419.0,1.2241,0.292145,292.145487,345,100790.193,6.53,198.46,0.75
R-54847,FLX|Pasta|Scallop & Spaghett,SPECIALS,1231.287331,436.436875,1.2313,0.282123,282.122662,44,12413.39713,3.77,1443.49,0.33
R-38033,SIDE|Fruit Cup|9oz,GV - SIDES,714.5368142,255.1455,0.7145,0.280051,280.050722,15268,4275814.423,2.25,1678.55,0.26
R-53772,SS|POP|Koftas,SPECIALS,741.8143162,265.0,0.7418,0.27993,279.929931,62,17355.65572,2.18,2082.1,0.43
R-54609,POP|Coq Au Vin|Ed,SPECIALS,1082.155357,396.0,1.0822,0.273272,273.271555,81,22134.99596,5.37,404.36,0.7
R-51174,SL|Chicken Thigh Plate|Sample,GV SIMPLY LOCAL,1145.444658,420.06,1.1454,0.272686,272.685963,4792,1306711.135,6.06,159.45,0.79
R-44379,FLX|Chicken Pot Pie(1),GV FLEX GLOBAL BOWL,880.615109,325.0,0.8806,0.270958,270.958495,1520,411856.9124,5.06,588.32,0.67
R-44678,SAND|Add Cheese,GV-SANDWICH,37.86920062,14.0,0.0379,0.270494,270.49429,7522,2034658.049,7.16,6178.43,0.8
R-40779,GZA|Sushi cone|chicken,GV GYAZA,243.7540213,92.0,0.2438,0.26495,264.950023,1,264.950023,2.96,281.95,0.34
