ConversionId,Multiplier,ConvertFromQty,ConvertFromUom,ConvertToQty,ConvertToUom
I-42197,0.00909090909090909,0.5,ea,55.0,ml
I-42204,0.00909090909090909,1.0,each,110.0,ml
I-40471,0.008,0.25,ea,31.25,ml
I-40472,0.008,0.25,ea,31.25,ml
I-40473,0.008,0.25,ea,31.25,ml
I-40474,0.008,0.25,ea,31.25,ml
I-42196,0.008695652173913044,0.5,ea,57.5,ml
I-42199,0.01,0.2,ea,20.0,ml
I-42198,0.01,0.5,each,50.0,ml
I-53014,0.004219409282700422,1.0,ea,237.0,g
I-42210,0.00847457627118644,1.0,ea,118.0,ml
I-2768,0.03333333333333333,0.25,CT,7.5,g
I-20879,0.013333333333333334,2.0,CT,150.0,g
I-28641,0.0035714285714285713,1.0,ea,280.0,g
I-47441,0.007042253521126761,1.0,ea,142.0,g
I-47440,0.007042253521126761,1.0,ea,142.0,g
I-2501,0.00909090909090909,0.3,pak,33.0,g
I-13327,0.003076923076923077,0.7,pak,227.5,g
I-49783,0.014285714285714285,1.0,ea,70.0,g
I-2772,0.0035714285714285713,1.0,CT,280.0,g
I-47430,0.00392156862745098,1.0,ea,255.0,g
I-28685,0.002857142857142857,1.0,ea,350.0,g
I-19910,0.04,0.5,piece,12.5,g
I-63683,0.022099447513812154,1.0,ea,45.25,g
I-45537,0.008,1.0,ea,125.0,g
I-41375,0.005,1.0,ea,200.0,g
I-2118,0.004405286343612335,1.0,PTN,227.0,g
I-67541,0.0019047619047619048,1.0,ea,525.0,g
I-68966,0.05,1.0,slice,20.0,g
I-2769,0.009009009009009009,0.25,CT,27.75,g
I-63691,0.0023148148148148147,1.0,ea,432.0,g
I-47530,0.03333333333333333,7.0,ea,210.0,g
I-43647,0.020833333333333332,1.0,CT,48.0,g
I-41803,0.1,1.0,ea,10.0,g
I-41805,0.1,1.0,each,10.0,g
I-63977,0.0022026431718061676,1.0,ea,454.0,g
I-53017,0.00130718954248366,1.0,pak,765.0,g
I-41807,0.09090909090909091,1.0,ea,11.0,g
I-41804,0.09090909090909091,1.0,ea,11.0,g
I-41800,0.09090909090909091,1.0,ea,11.0,g
I-49669,0.01,1.0,BAR,100.0,ml
I-3828,0.01,1.0,BAR,100.0,ml
I-3815,0.012345679012345678,1.0,BAR,81.0,ml
I-14933,0.012345679012345678,1.0,BAR,81.0,ml
I-34478,0.011111111111111112,1.0,BAR,90.0,ml
I-14932,0.011111111111111112,1.0,BAR,90.0,ml
I-14934,0.007407407407407408,1.0,BAR,135.0,ml
I-3830,0.011111111111111112,1.0,BAR,90.0,ml
I-34477,0.011111111111111112,1.0,BAR,90.0,ml
I-3834,0.01,1.0,BAR,100.0,ml
I-16171,0.009009009009009009,1.0,BAR,111.0,ml
I-3821,0.016666666666666666,1.0,BAR,60.0,ml
I-34479,0.011111111111111112,1.0,BAR,90.0,ml
I-3825,0.005,1.0,BAR,200.0,ml
I-42797,0.005,1.0,BAR,200.0,ml
I-51573,0.0064516129032258064,1.0,BAR,155.0,ml
I-48881,0.014285714285714285,0.125,ea,8.75,ml
I-34483,0.016666666666666666,1.0,BAR,60.0,ml
I-51574,0.011235955056179775,1.0,BAR,89.0,ml
I-2521,0.011904761904761904,1.0,BAR,84.0,ml
I-21707,0.011111111111111112,1.0,BAR,90.0,ml
I-48147,0.014285714285714285,0.125,ea,8.75,ml
I-53227,0.014285714285714285,0.125,ea,8.75,ml
I-55684,0.014285714285714285,0.125,ea,8.75,ml
I-3823,0.009009009009009009,1.0,BAR,111.0,ml
I-65520,0.014285714285714285,1.0,each,70.0,ml
I-51575,0.011235955056179775,1.0,BAR,89.0,ml
I-65588,0.011235955056179775,1.0,each,89.0,ml
I-51572,0.0064516129032258064,1.0,BAR,155.0,ml
I-31464,0.0009263118892130981,1.0,ea,1079.55,g
I-63692,0.0013333333333333333,1.0,ea,750.0,g
I-47441,0.007042253521126761,1.0,ea,142.0,g
I-20879,1.0,9000.0,g,9000.0,g
I-2564,1.0,4560.0,g,4560.0,g
I-28697,0.007042253521126761,1.0,ea,142.0,g
I-10503,1.0,192.0,g,192.0,g
I-2768,0.01,1.0,CT,100.0,g
I-33072,0.006666666666666667,1.0,ea,150.0,g
I-70004,1.0,2210.0,g,2210.0,g
I-67659,0.004405286343612335,1.0,each,227.0,g
I-49371,0.006289308176100629,1.0,CT,159.0,g
I-52609,0.004830917874396135,1.0,ea,207.0,ml
I-52636,0.004830917874396135,1.0,ea,207.0,ml
I-2501,1.0,27.5,g,27.5,g
I-2772,0.003571173487608028,1.0,CT,280.02,g
I-61409,0.0035460992907801418,1.0,pak,282.0,g
I-53847,0.0024154589371980675,1.0,414ML,414.0,ml
I-64361,0.022222222222222223,1.0,each,45.0,g
I-63003,0.005235602094240838,0.5,ea,95.5,g
I-63749,0.0024154589371980675,1.0,414ML,414.0,ml
I-63002,0.034211426616489904,0.5,ea,14.615,g
I-2833,0.004,0.07,CT,17.5,ml
I-3745,0.014084507042253521,1.25,CT,88.75,g
I-1384,0.034211426616489904,0.5,CT,14.615,g
I-64914,0.018518518518518517,1.0,each,54.0,g
I-45901,0.1,1.0,each,10.0,g
