ItemId,CategoryID,Description,CaseQty,CaseUOM,PakQty,PakUOM,InventoryGroup
I-13676,,Beets - Gold med,60.0,g,1.0,oz,N
I-17990,,BEETS Candy Cane 5lb,0.025,LBS,1.0,LBS,N
I-17991,,GRAPEFRUIT pink lrg 4ct ,0.25,ea,1.0,ea,N
I-1096,,PEACH SCHNAPPS LIQUOR,900.0,ml,18.0,fl oz,N
I-10917,,Mango Slushie Mix Concentrate,900.0,g,18.0,oz,N
I-6182,,BIB - Coca-Cola 20L,1.0,L,6.0,fl oz,N
I-6189,,BIB - Coke Zero 10L,1.0,L,6.0,fl oz,N
I-6188,,BIB -Canada Dry Ginger Ale 10L,1.0,L,6.0,fl oz,N
I-6185,,BIB - Nestea 20L,1.0,L,6.0,fl oz,N
I-12929,,BIB- Sprite 10L ,1.0,L,6.0,fl oz,N
I-6224,,BIB - Tonic Water 12L,1.0,L,6.0,fl oz,N
I-2993,,MUSHROOM ,10.0,lb,6.0,oz,N
I-3068,,"MUSHROOM ""PORTABELLA""*",5.0,lb,6.0,oz,N
I-7200,,Mushroom King Oyster,3.0,lb,6.0,oz,N
I-1626,,BREAD NAAN ORIGINAL INDIAN,1.0,ea,1.0,ea,N
I-13754,,ITEM 2019 Makhni Sauce,6.0,oz,1.0,g,N
I-14517,,Lijjat Papad,0.5,ea,1.0,ea,N
I-15038,,2023 Chicken Tikka,4.0,oz,1.0,Kg,N
I-14429,,LIMES 5lb bag ,104.0,g,1.0,g,N
I-15412,,G21 Pickled Red Cabbage,80.0,g,1.0,g,N
I-13109,,16 OZ Mixing Glass ,1.0,ea,1.2,ea,N
I-5941,,Broccoli Crowns,30.0,g,1.0,g,Y
I-14984,,G21 Teriyaki Sauce ,5.0,fl oz,1.0,L,Y
I-16994,,Cucumber Marinate Gal.,20.0,ml,1.0,ml,Y
I-2327,,SPICE CINNAMON GROUND SHAKER ,60.0,g,500.0,g,N
I-10973,,Spirit Bear Orca - Dark Roast,1800.0,g,270.5,g,N
I-12210,,Pasta Linguine Dry 10in,2.0,Kg,4.0,g,Y
I-2093,,PASTA PENNE RIGATE ,2.0,Kg,4.0,oz,N
I-2086,,PANKO (CRUMBLE),100.0,g,3.0,g,Y
I-12921,,EGGPLANT,1.0,ea,3.0,ea,Y
I-18317,,Spicy marinara sauce 2023,2.0,fl oz,3.0,L,Y
I-8975,,VINEGAR - CHINKIANG GOLD PLUM,500.0,ml,1500.0,ml,N
I-11704,,Chili Oil - Sanwu Brand Spicy,50.0,g,1500.0,g,N
I-12132,,Soy Sauce Tamari G/F Yamasa,600.0,ml,1500.0,fl oz,N
I-12764,,SESAME OIL 1.65L,300.0,g,1500.0,ml,N
I-15369,,G21 - Marinara Sauce,0.08,3 LTR,1.0,3 LTR,N
I-18257,,Flatbread oval,1.0,ea,1.0,ea,N
I-18268,,Roasted mix veggie 2023,150.0,g,1.0,Kg,N
I-8091,,Salami Genoa Slcd Deli,4.0,slice,1.0,slice,N
I-13002,,CHORIZO CRUMBLE ,25.0,g,1.0,g,N
I-14150,,BQT Mushroom Mix,3.0,oz,1.0,Kg,N
I-7119,,Simple Syrup,4.0,fl oz,1.0,L,N
I-1759,,COCONUT MILK 17/19% MILK FAT,50.0,ml,15.0,ml,N
I-2329,,SPICE CUMIN SEED GROUND BOX,50.0,g,15.0,g,N
I-5075,,Spice Bay Leaf Whl,10.0,g,15.0,g,N
I-5103,,BAG CLR POLY 2LB 4X2X10IN,15.0,ea,15.0,ea,N
I-11828,,SO Pandan Leaf,70.0,g,15.0,g,N
I-13038,,PIZZAYOLO Pizza Sce ,300.0,fl oz,333.0,fl oz,Y
I-7335,,Tea Assam Brkfst Two Leaves,3.0,ea,4.0,ea,N
I-2319,,BREAD - SOURDOUGH HOMESTYLE,2.0,slice,1.0,slice,Y
I-9028,,ITEM GARLIC BUTTER,50.0,g,1.0,g,Y
I-14841,,Cheese Monterey Jalapeno SLCD,2.0,slice,1.0,slice,Y
I-14885,,2022 Pesto ,3.0,fl oz,1.0,L,Y
I-2059,,OIL SESAME ,0.25,fl oz,1.0,ml,N
I-1652,,CARROTS-SNAP TOP,50.0,g,1.0,oz,N
I-14296,,G20 Hummus ,150.0,ml,1.0,L,N
I-12218,,Prosciutto Deli Slcd 198ct Frs,36.0,g,1.0,g,N
I-12306,,Garlic Baguette Slice,2.0,ea,1.0,ea,N
I-14125,,OLIVE MIX mediterranean,62.0,g,1.0,g,N
I-14145,,Brie Little Qualicum,33.0,g,1.0,g,N
I-14155,,Tipsy Jill Cheese,30.0,g,1.0,g,N
I-13823,,ITEM 2019 Korma Sauce,6.0,fl oz,1.0,L,N
I-14514,,Paneer cubed 21lb,3.0,oz,1.0,g,N
I-8504,,ITEM RED PEPPER HUMMUS,400.0,ml,1.0,ml,N
I-8523,,ITEM TZATZIKI,400.0,ml,1.0,ml,N
I-8980,,PICKLE SPEAR BREADED TFC,175.0,g,1.0,g,N
I-14638,,Perogies potato 3 chz 160ct,6.0,ea,1.0,ea,N
I-1553,,AVOCADOS,6.0,ea,1.5,ea,N
I-15495,,"Country Sourdough 5/8""",1.0,slice,1.0,slice,N
I-1595,,BEAN KIDNEY RED,1200.0,fl oz,548.0,ml,N
I-1598,,BEAN TURTLE BLK,1200.0,fl oz,548.0,ml,N
I-2923,,Potato Peeled,15.0,Kg,548.0,oz,N
I-1835,,EGG MED FREE RUN LOOSE PACK,2.0,ea,1.0,ea,N
I-14530,,GUACAMOLE Cal Supreme,40.0,g,1.0,oz,N
I-5095,,Onion Granulated powder,4.0,g,500.0,g,N
I-1784,,CREAM WHIPPING AEROSOL REAL CR,4.0,g,1.0,g,N
I-7168,,Raspberries Frozen IQF,5.0,g,1.0,g,N
I-8857,,ITEM BLUEBERRY COMPOTE,1.0,fl oz,1.0,ml,N
I-15475,,NY Cheesecake GF individual ,1.0,ea,1.0,ea,N
I-15027,,Tandoori Masala Powder,40.0,g,10.0,g,Y
I-2347,,SPICE THYME GROUND ,20.0,tsp,8.0,fl oz,N
I-1787,,CROISSANT JUMBO,1.0,ea,1.0,ea,N
I-12886,,PROSCIUTTO ,30.0,g,1.0,g,N
I-15409,,G21 Poached Egg,2.0,ea,1.0,ea,N
I-15433,,G21 Hollandaise ,2.0,fl oz,1.0,L,N
