ConversionId,ConvertToQty,ConvertToUom,Category,CO2 Emission (g CO2),Nitrogen Lost (g),Water Withdrawals (mL),PrepId,Total CO2 Emission (g),Total Nitrogen Emission (g),Total Freshwater Withdrawals (mL),Weight (g),GHG Emission (g) / 100g,N lost (g) / 100g,Stress-Weighted Water Use (L) / 100g,GHG Emission (g) / g,N lost (g) / g,Stress-Weighted Water Use (L) / g
I-85,2000.0,ml,43,1.6414,0.0,10.1,P-16,3282.7999999999997,0.0,20200.0,4750.0,69.11157894736841,0.0,0.4252631578947368,0.6911157894736841,0.0,0.004252631578947368
I-88,300.0,g,43,1.6414,0.0,10.1,P-16,492.42,0.0,3030.0,4750.0,10.366736842105263,0.0,0.06378947368421052,0.10366736842105263,0.0,0.0006378947368421052
I-148,15.0,g,43,1.6414,0.0,10.1,P-25,24.621,0.0,151.5,2632.3387000000002,0.9353279652044775,0.0,0.005755338399272099,0.009353279652044775,0.0,5.755338399272099e-05
I-29,1500.0,g,48,3.2401,0.0002,1.4,P-6,4860.15,0.3,2100.0,2500.0,194.40599999999998,0.011999999999999999,0.084,1.94406,0.00011999999999999999,0.00084
I-39,600.0,ml,48,3.2401,0.0002,1.4,P-7,1944.06,0.12000000000000001,840.0,2860.45265,67.96336936393615,0.004195140234186362,0.029365981639304532,0.6796336936393615,4.195140234186362e-05,0.00029365981639304533
I-62,4000.0,g,48,3.2401,0.0002,1.4,P-11,12960.4,0.8,5600.0,6267.96,206.77221935047444,0.012763323314124532,0.08934326319887172,2.0677221935047445,0.0001276332331412453,0.0008934326319887172
I-64,60.0,g,48,3.2401,0.0002,1.4,P-12,194.406,0.012,84.0,3764.5,5.16419179173861,0.00031876743259397,0.00223137202815779,0.05164191791738611,3.1876743259397e-06,2.23137202815779e-05
I-79,2840.0,g,48,3.2401,0.0002,1.4,P-15,9201.884,0.5680000000000001,3975.9999999999995,2940.0,312.98925170068026,0.019319727891156466,0.1352380952380952,3.1298925170068026,0.00019319727891156465,0.0013523809523809521
I-80,100.0,ml,48,3.2401,0.0002,1.4,P-15,324.01,0.02,140.0,2940.0,11.020748299319727,0.0006802721088435375,0.004761904761904762,0.11020748299319727,6.8027210884353745e-06,4.761904761904762e-05
I-110,100.0,ml,48,3.2401,0.0002,1.4,P-21,324.01,0.02,140.0,1465.0,22.116723549488054,0.0013651877133105802,0.009556313993174062,0.22116723549488054,1.3651877133105803e-05,9.556313993174063e-05
I-145,30.0,ml,48,3.2401,0.0002,1.4,P-25,97.203,0.006,42.0,2632.3387000000002,3.692647910392382,0.00022793419403057817,0.0015955393582140474,0.03692647910392382,2.279341940305782e-06,1.5955393582140473e-05
I-150,3000.0,ml,48,3.2401,0.0002,1.4,P-27,9720.3,0.6,4200.0,3050.0,318.6983606557377,0.019672131147540982,0.1377049180327869,3.186983606557377,0.00019672131147540983,0.001377049180327869
I-33,12.0,g,40,0.5029,0.0079,81.3,P-7,6.034800000000001,0.09480000000000001,975.5999999999999,2860.45265,0.21097360237723214,0.0033141607850072263,0.03410649010393512,0.0021097360237723214,3.3141607850072265e-05,0.0003410649010393512
I-36,60.0,g,40,0.5029,0.0079,81.3,P-7,30.174,0.47400000000000003,4878.0,2860.45265,1.0548680118861606,0.01657080392503613,0.1705324505196756,0.010548680118861606,0.0001657080392503613,0.0017053245051967562
I-52,9071.84,g,40,0.5029,0.0079,81.3,P-10,4562.228336,71.66753600000001,737540.592,20641.64,22.102063285669164,0.3471988466032738,3.573071674537488,0.22102063285669163,0.0034719884660327385,0.03573071674537488
I-53,2267.96,g,40,0.5029,0.0079,81.3,P-10,1140.557084,17.916884000000003,184385.148,20641.64,5.525515821417291,0.08679971165081846,0.893267918634372,0.05525515821417291,0.0008679971165081846,0.00893267918634372
I-54,2267.96,g,40,0.5029,0.0079,81.3,P-10,1140.557084,17.916884000000003,184385.148,20641.64,5.525515821417291,0.08679971165081846,0.893267918634372,0.05525515821417291,0.0008679971165081846,0.00893267918634372
I-55,2267.96,g,40,0.5029,0.0079,81.3,P-10,1140.557084,17.916884000000003,184385.148,20641.64,5.525515821417291,0.08679971165081846,0.893267918634372,0.05525515821417291,0.0008679971165081846,0.00893267918634372
I-59,50.0,g,40,0.5029,0.0079,81.3,P-10,25.145,0.395,4065.0,20641.64,0.12181687114008384,0.0019136076397030472,0.019693202671880725,0.0012181687114008384,1.913607639703047e-05,0.00019693202671880724
I-60,4535.92,g,40,0.5029,0.0079,81.3,P-10,2281.114168,35.833768000000006,368770.296,20641.64,11.051031642834582,0.1735994233016369,1.786535837268744,0.11051031642834581,0.0017359942330163693,0.01786535837268744
I-115,30.0,g,40,0.5029,0.0079,81.3,P-22,15.087,0.23700000000000002,2439.0,164.60000000000002,9.165856622114214,0.14398541919805588,1.4817739975698663,0.09165856622114214,0.0014398541919805588,0.014817739975698662
I-121,5.0,g,40,0.5029,0.0079,81.3,P-23,2.5145,0.03950000000000001,406.5,20444.0,0.012299452162003522,0.00019321072197221682,0.0019883584425748387,0.00012299452162003522,1.932107219722168e-06,1.9883584425748385e-05
I-138,100.0,g,40,0.5029,0.0079,81.3,P-25,50.29,0.79,8130.0,2632.3387000000002,1.9104684362996294,0.030011335547359463,0.30885083291143345,0.019104684362996293,0.00030011335547359464,0.0030885083291143345
I-151,50.0,g,40,0.5029,0.0079,81.3,P-27,25.145,0.395,4065.0,3050.0,0.8244262295081967,0.012950819672131148,0.13327868852459018,0.008244262295081966,0.0001295081967213115,0.0013327868852459018
I-5,15.0,g,40,0.5029,0.0079,81.3,P-1,7.5435,0.11850000000000001,1219.5,106.0,7.116509433962263,0.11179245283018868,1.1504716981132077,0.07116509433962263,0.0011179245283018868,0.011504716981132077
I-31,165.0,g,40,0.5029,0.0079,81.3,P-7,82.9785,1.3035,13414.5,2860.45265,2.9008870326869416,0.045569710793849354,0.46896423892910793,0.029008870326869416,0.00045569710793849356,0.004689642389291079
I-49,0.55,g,40,0.5029,0.0079,81.3,P-9,0.27659500000000004,0.004345000000000001,44.715,6.55,4.222824427480917,0.06633587786259544,0.6826717557251909,0.04222824427480917,0.0006633587786259544,0.006826717557251909
I-67,27.5,g,40,0.5029,0.0079,81.3,P-12,13.82975,0.21725000000000003,2235.75,3764.5,0.36737282507637137,0.0057710187275866656,0.05939035728516403,0.003673728250763714,5.771018727586666e-05,0.0005939035728516403
I-102,45.8,g,40,0.5029,0.0079,81.3,P-19,23.03282,0.36182000000000003,3723.5399999999995,985.8,2.3364597281395825,0.03670318523026983,0.37771758977480213,0.023364597281395824,0.00036703185230269834,0.0037771758977480216
I-113,45.8,g,40,0.5029,0.0079,81.3,P-22,23.03282,0.36182000000000003,3723.5399999999995,164.60000000000002,13.993207776427703,0.21981773997569864,2.2621749696233286,0.13993207776427702,0.0021981773997569866,0.022621749696233286
I-114,27.5,g,40,0.5029,0.0079,81.3,P-22,13.82975,0.21725000000000003,2235.75,164.60000000000002,8.402035236938032,0.13198663426488458,1.3582928311057108,0.08402035236938031,0.0013198663426488458,0.013582928311057106
I-116,1.3,g,40,0.5029,0.0079,81.3,P-22,0.6537700000000001,0.010270000000000001,105.69,164.60000000000002,0.39718712029161607,0.006239368165249089,0.06421020656136087,0.0039718712029161605,6.239368165249089e-05,0.0006421020656136086
I-129,800.0,g,40,0.5029,0.0079,81.3,P-24,402.32,6.32,65040.0,1955.0,20.579028132992327,0.3232736572890026,3.3268542199488493,0.20579028132992327,0.0032327365728900257,0.03326854219948849
