IngredientId,Qty,Uom,Recipe
I-3005,0.5,g,R-17013
I-1874,30.0,g,R-16834
I-1995,5.0,g,R-16834
I-2087,0.015,BUNCH,R-16834
I-2099,400.0,g,R-16834
I-2209,14.0,g,R-16834
I-2367,40.0,g,R-16834
I-2640,2.0,cup,R-16834
I-5198,300.0,ml,R-16834
I-1689,30.0,g,R-17304
I-1941,10.0,ml,R-17304
I-2119,50.0,ml,R-17304
I-2209,5.0,g,R-17304
I-3230,5.0,g,R-17304
I-3804,10.0,g,R-17304
I-5944,100.0,g,R-17304
I-2087,0.1,BUNCH,R-17302
I-2119,50.0,ml,R-17302
I-2203,3.0,oz,R-17302
I-4014,8.0,ea,R-17302
I-14422,5.0,g,R-17302
I-2087,0.01,BUNCH,R-17316
I-3258,1.0,g,R-17316
I-6243,2.0,fl oz,R-17316
I-7775,2.0,oz,R-17316
I-17314,275.0,g,R-17316
I-1894,5.0,g,R-17301
I-2119,50.0,ml,R-17301
I-2262,2.0,g,R-17301
I-12351,3.0,g,R-17301
I-12354,6.0,piece,R-17301
I-14666,1.5,fl oz,R-17301
P-15419,1.0,fl oz,R-17301
I-1863,300.0,g,R-15047
I-1958,1.5,fl oz,R-15047
I-2119,50.0,ml,R-15047
I-8851,10.0,g,R-15047
I-1841,0.5,fl oz,R-17306
I-2087,0.01,BUNCH,R-17306
I-2119,50.0,ml,R-17306
I-2339,1.0,g,R-17306
I-5731,10.0,g,R-17306
I-13719,1.0,ea,R-17306
I-14126,0.5,ea,R-17306
I-14127,0.5,ea,R-17306
P-17305,4.0,oz,R-17306
I-17378,5.0,g,R-17306
I-2067,275.0,g,R-9016
I-2119,100.0,ml,R-9016
I-6243,2.0,fl oz,R-9016
I-1863,300.0,g,R-17300
I-1894,5.0,g,R-17300
I-2119,100.0,ml,R-17300
I-11093,40.0,g,R-17300
I-13719,1.0,ea,R-17300
I-17360,2.0,fl oz,R-17300
I-1752,0.1,BUNCH,R-15173
I-1782,2.0,fl oz,R-15173
I-2203,2.0,fl oz,R-15173
I-3700,1.0,ea,R-15173
I-10955,3.0,oz,R-15173
I-2087,0.05,BUNCH,R-17303
I-2119,50.0,ml,R-17303
I-2238,2.0,fl oz,R-17303
I-13598,6.0,ea,R-17303
I-13719,2.0,ea,R-17303
I-1660,0.5,fl oz,R-16218
I-1874,1.0,oz,R-16218
I-1941,200.0,ml,R-16857
I-2119,330.0,ml,R-16857
I-2209,7.0,g,R-16857
I-2367,60.0,g,R-16857
I-3180,4.5,fl oz,R-16857
I-7981,45.0,ml,R-16857
I-1588,1.4,L,P-17305
I-1841,100.0,ml,P-17305
I-1874,30.0,g,P-17305
I-1941,75.0,ml,P-17305
I-2099,100.0,g,P-17305
I-2119,100.0,ml,P-17305
I-2209,15.0,g,P-17305
I-2183,1000.0,g,R-15477
I-2640,1.75,L,R-15477
I-1568,15.0,g,R-16580
I-1849,3.0,Kg,R-16580
I-2341,30.0,g,R-16580
I-5283,30.0,g,R-16580
I-7645,45.0,g,R-16580
I-1874,450.0,g,R-16579
I-1958,750.0,ml,R-16579
I-2341,150.0,g,R-16579
I-2378,2000.0,ml,R-16579
I-2920,350.0,ml,R-16579
I-2958,100.0,g,R-16579
I-3804,50.0,g,R-16579
I-12212,300.0,g,R-16579
I-15547,600.0,g,R-16579
I-2209,50.0,g,R-17026
I-16698,825.0,g,R-17026
I-2209,50.0,g,R-16863
I-16698,825.0,g,R-16863
I-1971,2.0,ea,R-16575
I-5283,8.0,g,R-16575
I-8749,500.0,ml,R-16575
I-1783,300.0,ml,R-16843
I-2037,0.5,lb,R-16843
I-2209,25.0,g,R-16843
I-5203,4.0,Kg,R-16843
I-2209,200.0,g,R-16864
I-8851,500.0,g,R-16864
I-1783,500.0,ml,R-16582
I-2263,50.0,g,R-16582
I-7656,50.0,g,R-16582
I-1695,1.0,slice,R-15050
I-5220,30.0,g,R-15050
I-12060,1.0,ea,R-15050
I-12266,2.0,fl oz,R-15050
I-14218,1.0,ea,R-15050
I-15051,1.0,ea,R-15050
I-2103,4.5,qt,R-17028
I-11125,0.5,qt,R-17028
I-5575,454.0,g,R-14885
I-13001,227.0,g,R-14885
I-14419,250.0,g,R-16572
I-16571,450.0,ml,R-16572
I-1927,500.0,g,R-16221
I-16571,4.0,cup,R-16221
I-1927,500.0,g,R-16223
I-16571,4.0,cup,R-16223
I-14419,1.0,Kg,R-17040
I-16571,900.0,ml,R-17040
I-14419,1.0,Kg,R-16222
I-16221,0.2,5L,R-16222
I-1874,10.0,g,R-16571
I-2209,160.0,g,R-16571
I-2367,440.0,g,R-16571
I-2443,3.0,cup,R-16571
I-2640,3.0,L,R-16571
I-16144,35.0,g,R-16571
I-1752,1.0,BUNCH,R-11125
I-1927,250.0,g,R-11125
I-2066,1.0,lb,R-11125
I-2209,5.0,g,R-11125
I-2402,2600.0,g,R-11125
I-3230,2.0,g,R-11125
I-6204,2.0,oz,R-11125
I-1637,400.0,g,R-16106
I-1892,100.0,g,R-16106
I-8667,60.0,ml,R-16106
I-15074,100.0,ml,R-16106
I-1894,0.5,oz,R-15417
I-12351,5.0,g,R-15417
I-12354,6.0,piece,R-15417
I-14666,10.0,ml,R-15417
P-15419,1.0,fl oz,R-15417
I-1637,2.0,oz,R-17126
I-1752,0.05,BUNCH,R-17126
I-1892,2.0,oz,R-17126
I-1971,0.25,ea,R-17126
I-6243,4.0,fl oz,R-17126
I-7647,2.0,ea,R-17126
I-13719,1.0,ea,R-17126
P-16793,180.0,g,R-17126
I-17039,30.0,g,R-17126
I-17040,20.0,g,R-17126
I-1863,450.0,g,P-17358
I-2087,0.2,BUNCH,P-17358
I-2119,50.0,ml,P-17358
I-11093,80.0,g,P-17358
I-17360,4.0,fl oz,P-17358
I-1963,0.25,ea,P-15006
I-3914,60.0,g,P-15006
I-4925,10.0,g,P-15006
I-13757,60.0,g,P-15006
I-13759,60.0,g,P-15006
I-14715,50.0,g,P-15006
I-15007,30.0,g,P-15006
I-15008,30.0,g,P-15006
I-15010,3.0,fl oz,P-15006
I-16778,15.0,g,P-15006
I-1894,20.0,oz,R-14692
I-2037,10.0,oz,R-14692
I-2181,2000.0,g,R-14692
I-2640,3.0,L,R-14692
I-4091,35.0,g,R-14692
I-8151,0.044,LBS,R-14692
I-2153,8.0,Kg,P-16793
I-6865,500.0,g,P-16793
I-8851,500.0,g,P-16793
I-12173,800.0,ml,P-16793
I-14423,300.0,g,P-16793
I-14424,300.0,g,P-16793
I-17946,1.0,L,P-16793
I-2121,1.0,slice,P-16795
I-3354,1.0,ea,P-16795
