PrepId,Description,PakQty,PakUOM,InventoryGroup,StdQty,StdUom,GHG Emission (g),GHG Emission(g)/StdUom,N lost (g),N lost (g)/StdUom,Freshwater Withdrawals (ml),Freshwater Withdrawals (ml)/StdUom,Stress-Weighted Water Use (ml),Stress-Weighted Water Use (ml)/StdUom,Land Use (m^2),Land Use (m^2)/StdUom
P-14353,PREP DYNAMITE ROLL,1.0,PORT,N,296.56,g,1362.654592734421,4.594869816342126,4.693945746307602,0.015827979991595634,101875.76743005832,343.5249778461637,4783007.558700887,16128.296326884565,0.3442781428670602,0.0011609055262579587
P-14396,PREP HOUSE ROLL,1.0,PORT,N,428.4,g,419.2165058716559,0.9785632723428009,1.4573263289139262,0.0034017888163256917,23695.856244694547,55.31245622010866,954358.6789826851,2227.728008829797,0.07344107800813711,0.0001714310877874349
P-14430,PREP MANGO&AVO ROLL,1.0,PORT,N,312.99,g,157.01663170244228,0.5016666082061481,0.634520714438902,0.0020272874994054185,26382.191718744805,84.29084545431101,1839751.0544762753,5877.986691192292,0.5764556437965505,0.001841770164530977
P-14413,PREP PHILADELPHIA ROLL,1.0,PORT,N,335.17,g,625.4618670657653,1.8661033716196715,7.230433758252121,0.021572437146081452,137975.72003572492,411.65891946094496,3448794.213040506,10289.686466690055,0.8367098721696562,0.00249637459250427
P-14360,PREP SALMON MAKI,1.0,PORT,N,248.47,g,264.6414457501961,1.0650840976785774,3.609643750003081,0.01452748319717906,79316.14502503171,319.2181954563195,429883.7980261464,1730.1235482196903,0.3849178700004641,0.0015491522920290744
P-3173,PREP SUSHI RICE COOKED,58.0,PORT,N,7100.0,g,7350.05,1.035218309859155,15.37,0.002164788732394366,4571210.0,643.8323943661971,13418240.000000002,1889.8929577464792,6.293,0.0008863380281690141
P-14354,PREP TEMPURA YAM,1.0,PORT,N,46.8,g,134.044,2.8641880341880346,0.1695,0.003621794871794872,323.0,6.901709401709402,3913.0,83.61111111111111,0.4787,0.010228632478632479
P-14357,PREP TUNA MAKI,1.0,PORT,N,248.47,g,264.6414457501961,1.0650840976785774,3.609643750003081,0.01452748319717906,79316.14502503171,319.2181954563195,429883.7980261464,1730.1235482196903,0.3849178700004641,0.0015491522920290744
P-14369,PREP VEGGIE ROLL,1.0,PORT,N,319.298,g,90.75889878139196,0.28424512142698033,1.1532842059684014,0.0036119368300722254,1571.1802053783076,4.920732999825579,20630.604208326127,64.61238156307314,0.40030536512546017,0.001253704580440404
P-14355,PREP YAM ROLL,1.0,PORT,N,259.44,g,210.43991940019615,0.8111313575400715,0.43707570000308094,0.001684688945432782,26458.966700031706,101.98491635843241,1843333.4094511461,7105.047060789185,0.616707140000464,0.002377070382363799
P-18358,Sub Onion Rings prep 2023,1.0,ea,N,247.8238238,g,207.23,0.8361988642675442,1.195,0.0048219738589958755,355.0,1.4324692217100718,9230.0,37.24419976446187,0.871,0.0035145934988999226
P-18361,Sub Truffle fries 2023 Prep,1.0,ea,N,272.77382,g,330.4589349996228,1.2114759950189604,2.144427249994075,0.007861558158308869,17624.943074939027,64.6137634283929,910095.9339727954,3336.4489816977134,1.045178499999107,0.0038316672032495894
P-18296,Teriyaki Tempeh Prep 2023,1.0,PORT,N,761.1202361,g,753.3787311710562,0.989828801598271,2.07609959001659,0.002727689386705284,12048.776760170731,15.830319821621059,644995.662646173,847.4293968994276,2.2802731990024987,0.0029959434670751603
P-18330,Tuscan Prep 2023,1.0,PORT,N,703.8,g,658.6216798252915,0.9358080133920027,6.4192227454924975,0.009120805264979395,115958.29541935136,164.76029471348588,5196257.256503375,7383.144723647877,1.2048079998174082,0.0017118613239804038
P-15013,Wings Prep 2023,1.0,PORT,Y,500.0400591,g,2022.3291528,4.044334280817223,46.36710239999999,0.09272677569763929,147098.6249,294.17368113418013,133102.9625,266.1845987690789,5.359738429999999,0.01071861810361105
P-18313,Yam Fries prep 2023,1.0,PORT,N,499.5,g,341.40934999622823,0.6835022021946511,2.27184999994075,0.00454824824812963,1361.94999939025,2.7266266254059057,40324.24997795375,80.72922918509259,1.027284999991075,0.0020566266266087586
P-18049,Yellow Curry Prep Gall.2023,1.0,PORT,Y,709.9062365,g,678.5961428072665,0.9558954519865899,14.5129364137484,0.020443455300942975,53452.35959044082,75.29495705513614,643675.7798512866,906.7053460816957,1.8140909821386395,0.002555395190050059
P-17305,2022 Hummus prep,1600.0,g,N,1600.0,g,3208.511,2.005319375,9.3295,0.005830937499999999,10652.0,6.6575,600421.5,375.2634375,21.48209999999999,0.013426312499999992
P-16793,2022 Pulled Pork Prep,6.0,Kg,Y,6000.0,g,83961.23,13.993538333333333,1142.89,0.1904816666666667,15433040.0,2572.173333333333,462893610.0,77148.935,179.38799999999915,0.02989799999999986
P-18380,2023 Babaganoush Prep,750.0,g,N,750.0,g,1528.9145575424716,2.038552743389962,12.06923227776696,0.01609230970368928,66799.63254086419,89.06617672115225,1956116.6909478283,2608.155587930438,4.5480050889060335,0.006064006785208045
P-18458,2023 Fresh burger Patty prep,2.6,Kg,Y,2600.0,g,103936.46614999622,39.9755639038447,825.8239028124408,0.31762457800478494,4196296.66009314,1613.9602538819768,153381705.3111967,58992.96358122951,317.9422849999911,0.1222854942307658
P-18575,2023 Wings Hot sauce prep,1650.0,g,Y,1650.0,g,91.86000000000001,0.05567272727272728,11.7989154975,0.007150857877272727,31221.82458325,18.922317929242425,1596719.91422225,967.7090389225757,0.096,5.8181818181818185e-05
P-18531,2023.7 Chili Garlic Prep,1000.0,g,N,1000.0,g,3640.9285,3.6409285,3.69625,0.00369625,11842.5,11.8425,78587.5,78.5875,8.4152,0.008415200000000001
P-18530,2023.7 Sambal Chili Prep,2000.0,g,N,2000.0,g,9754.674,4.877337000000001,6.885,0.0034425,29610.0,14.805,235530.0,117.765,31.9068,0.0159534
P-18052,Beets prep 2023,2.0,Kg,N,2000.0,g,2424.4978564294047,1.2122489282147024,0.0836847,4.184235e-05,16002.63219329352,8.001316096646761,237005.13256878592,118.50256628439296,3.9514352310367813,0.0019757176155183907
P-18336,Cooked Penne pasta prep 2023,4.0,Kg,N,4000.0,g,3045.0,0.76125,29.6,0.0074,849400.0,212.35,25654400.0,6413.6,9.779999999999799,0.00244499999999995
P-18381,Eggplant Prep 2023,500.0,g,N,500.0,g,352.1300887343331,0.7042601774686662,9.085002289357387,0.018170004578714774,11385.002868941536,22.77000573788307,43585.01098311961,87.17002196623922,0.3680000927334638,0.0007360001854669276
P-14551,Porch Prep Pulled Pork,4.7,Kg,N,4700.0,g,7973.5131120999995,1.6964921515106381,31.30113675,0.006659816329787235,362900.427675,77.21285695212765,15385141.384975,3273.434337228723,14.3177141,0.00304632214893617
P-18321,Prep Alfredo (Gall)2023,2250.0,g,N,2250.0,g,7568.440230417499,3.3637512135188885,56.452335518750004,0.025089926897222226,508054.9789025,225.80221284555554,33429641.821167495,14857.618587185554,7.946644224999805,0.003531841877777691
